number,semester,name,instructors,schedule,level,id
Hausa AA,2017 Fall,b'Elementary Hausa',b'John Mugane',,Undergraduate,126307
Hausa AB,2018 Spring,b'Elementary Hausa',b'John Mugane',,Undergraduate,205858
Hausa BB,2018 Spring,b'Intermediate Hausa',b'John Mugane',,Undergraduate,205847
Hausa 101AR,2017 Fall,,b'John Mugane',,Undergraduate,
Hausa 101BR,2018 Spring,b'Advanced Hausa II',b'John Mugane',,Undergraduate,205870
African & African Amer Studies 10,2018 Spring,b'Introduction to African American Studies',b'Henry Gates & Lawrence Bobo',MW 1100 AM - 1159 AM,Undergraduate,122910
African & African Amer Studies 11,2017 Fall,b'Introduction to African Studies',b'Jacob Olupona',R 0400 PM - 0559 PM,Undergraduate,123591
African & African Amer Studies 20,2017 Fall,b'Introduction to African Languages and Cultures',b'John Mugane',M 1100 AM - 1259 PM,Undergraduate,118883
African & African Amer Studies 91R,2018 Spring,b'Supervised Reading and Research',b'Ingrid Monson',,Undergraduate,110605
African & African Amer Studies 91R,2017 Fall,,b'Ingrid Monson',,Undergraduate,
African & African Amer Studies 97,2018 Spring,b'Sophomore Tutorial: The Black Atlantic',b'Giovanna Micconi',R 0500 PM - 0659 PM,Undergraduate,123590
African & African Amer Studies 98,2018 Spring,b'Junior Tutorial - African American Studies',b'Ingrid Monson',,Undergraduate,118023
African & African Amer Studies 98,2017 Fall,b'Junior Tutorial - African American Studies',b'Ingrid Monson',,Undergraduate,118023
African & African Amer Studies 98A,2018 Spring,b'Junior Tutorial - African Studies',b'Ingrid Monson',,Undergraduate,119818
African & African Amer Studies 98A,2017 Fall,b'Junior Tutorial - African Studies',b'Ingrid Monson',,Undergraduate,119818
African & African Amer Studies 99A,2017 Fall,b'Senior Thesis Workshop',b'Ingrid Monson',,Undergraduate,124132
African & African Amer Studies 99B,2018 Spring,,b'Ingrid Monson',,Undergraduate,159794
African & African Amer Studies 100,2017 Fall,"b'Race and Modernity:  W. E. B. Du Bois, James Baldwin and Lorraine Hansberry'",b'Cornel West',TR 1100 AM - 1159 AM,Undergraduate,205689
African & African Amer Studies 101,2017 Fall,"b'The Color Line and Freedom Movements, in Geopolitical Context'",b'Tejasvi Nagaraja',W 0400 PM - 0559 PM,Undergraduate,205690
African & African Amer Studies 106X,2017 Fall,b'Contemporary African Music: Global and Local',b'Ingrid Monson',T 0200 PM - 0359 PM,Undergraduate,109467
